Facility_ID,Hospital_Name,Detailed_Region,Region,Procedure,Year_of_Hospital_Discharge,Number_of_Cases,Number_of_Deaths,Observed_Mortality_Rate,Expected_Mortality_Rate,Risk_Adjusted_Mortality_Rate,Lower_Limit_of_Confidence_Interval,Upper_Limit_of_Confidence_Interval,Comparison_Results,Start_Year,End_Year,Mid_Year,Comparison_Results_Category,Is_Higher_Than_Expected_Mortality,Is_Lower_Than_Expected_Mortality,Is_As_Expected_Mortality,Observed_vs_Expected_Difference,Observed_vs_RiskAdjusted_Difference
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2016,301,3,1.0,1.29,0.96,0.19,2.8,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.29000000000000004,0.040000000000000036
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2016,1689,13,0.77,0.82,1.16,0.61,1.98,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.04999999999999993,-0.3899999999999999
885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,389,6,1.54,0.91,2.09,0.76,4.55,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.63,-0.5499999999999998
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2016,692,6,0.87,0.99,1.08,0.4,2.36,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.12,-0.21000000000000008
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,All PCI,2010,548,7,1.28,0.94,1.14,0.46,2.34,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.3400000000000001,0.14000000000000012
1169,Montefiore - Moses,Bronx,NY Metro - NYC,TAVR,2013-2015,115,7,6.09,5.24,5.52,2.21,11.38,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,0.8499999999999996,0.5700000000000003
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2010,1154,12,1.04,0.85,1.03,0.53,1.8,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.19000000000000006,0.010000000000000009
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2015,1856,15,0.81,0.8,1.15,0.65,1.9,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,0.010000000000000009,-0.33999999999999986
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2016,1290,16,1.24,1.84,0.83,0.48,1.36,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.6000000000000001,0.41000000000000003
213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,1113,23,2.07,1.16,2.2,1.39,3.29,Rate significantly higher than Statewide Rate,2016,2016,2016,Rate significantly higher than Statewide Rate,False,False,False,0.9099999999999999,-0.13000000000000034
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,All PCI,2010,177,1,0.56,0.98,0.48,0.01,2.7,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.41999999999999993,0.08000000000000007
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2010,570,5,0.88,0.82,0.9,0.29,2.1,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.06000000000000005,-0.020000000000000018
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2015,427,2,0.47,0.89,0.6,0.07,2.16,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.42000000000000004,-0.13
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2016,978,11,1.12,1.13,1.23,0.62,2.21,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.009999999999999787,-0.10999999999999988
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2016,639,4,0.63,1.24,0.63,0.17,1.6,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.61,0.0
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,1025,6,0.59,0.95,0.52,0.19,1.13,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.36,0.06999999999999995
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,130,4,3.08,1.21,2.13,0.57,5.46,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,1.87,0.9500000000000002
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Valve or Valve/CABG,2013-2015,461,11,2.39,4.41,1.64,0.82,2.93,Rate significantly lower than Statewide Rate,2013,2015,2014,Rate significantly lower than Statewide Rate,False,False,False,-2.02,0.7500000000000002
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2016,1643,12,0.73,0.92,0.99,0.51,1.72,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.19000000000000006,-0.26
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2016,3479,36,1.03,0.92,1.39,0.97,1.92,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.10999999999999999,-0.3599999999999999
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,366,0,0.0,0.5,0.0,0.0,1.03,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.5,0.0
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1659,6,0.36,0.47,0.4,0.14,0.86,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.10999999999999999,-0.040000000000000036
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,5,0,0.0,0.45,0.0,0.0,82.45,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.45,0.0
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,276,6,2.17,0.9,1.23,0.45,2.68,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,1.27,0.94
1469,Mount Sinai St. Lukes,Manhattan,NY Metro - NYC,All PCI,2016,708,7,0.99,1.71,0.71,0.29,1.47,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.72,0.28
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2016,1117,15,1.34,1.21,1.37,0.77,2.27,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.13000000000000012,-0.030000000000000027
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1591,5,0.31,0.54,0.43,0.14,1.0,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.23000000000000004,-0.12
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2016,2164,17,0.79,1.13,0.86,0.5,1.38,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.33999999999999986,-0.06999999999999995
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,242,2,0.83,1.08,0.94,0.11,3.4,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.2500000000000001,-0.10999999999999999
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,281,1,0.36,0.3,0.61,0.01,3.41,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.06,-0.25
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2016,660,2,0.3,0.91,0.41,0.05,1.49,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.6100000000000001,-0.10999999999999999
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2016,1076,8,0.74,1.47,0.63,0.27,1.24,Rate significantly lower than Statewide Rate,2016,2016,2016,Rate significantly lower than Statewide Rate,False,False,False,-0.73,0.10999999999999999
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2010,177,0,0.0,0.23,0.0,0.0,4.53,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.23,0.0
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2016,1882,15,0.8,0.66,1.5,0.84,2.48,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.14,-0.7
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,All PCI,2016,268,3,1.12,1.72,0.81,0.16,2.36,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.5999999999999999,0.31000000000000005
511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,1102,10,0.91,1.28,0.87,0.42,1.61,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.37,0.040000000000000036
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2015,778,10,1.29,0.77,1.9,0.91,3.49,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,0.52,-0.6099999999999999
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,37,0,0.0,0.65,0.0,0.0,7.77,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.65,0.0
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2652,10,0.38,0.48,0.4,0.19,0.74,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.09999999999999998,-0.020000000000000018
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2010,1840,10,0.54,0.44,0.63,0.3,1.16,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.10000000000000003,-0.08999999999999997
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,270,1,0.37,0.38,0.5,0.01,2.77,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.010000000000000009,-0.13
541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,2411,30,1.24,1.27,1.21,0.82,1.73,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.030000000000000027,0.030000000000000027
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,993,6,0.6,0.87,0.36,0.13,0.77,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.27,0.24
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,CABG,2015,196,2,1.02,1.56,1.02,0.11,3.69,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.54,0.0
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Valve or Valve/CABG,2013-2015,340,12,3.53,4.09,2.62,1.35,4.57,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,-0.56,0.9099999999999997
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,615,3,0.49,0.39,0.64,0.13,1.87,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.09999999999999998,-0.15000000000000002
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,521,5,0.96,0.49,1.01,0.32,2.35,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.47,-0.050000000000000044
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,4685,17,0.36,0.51,0.36,0.21,0.58,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.15000000000000002,0.0
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2010,605,5,0.83,0.52,0.81,0.26,1.89,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.30999999999999994,0.019999999999999907
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Non-Emergency PCI,2010,1390,3,0.22,0.48,0.23,0.05,0.67,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.26,-0.010000000000000009
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2697,17,0.63,0.59,0.55,0.32,0.88,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.040000000000000036,0.07999999999999996
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1206,12,1.0,0.76,0.67,0.35,1.17,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.24,0.32999999999999996
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1128,2,0.18,0.43,0.21,0.02,0.76,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.25,-0.03
66,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2016,161,3,1.86,1.28,1.8,0.36,5.27,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.5800000000000001,0.06000000000000005
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2015,185,1,0.54,1.6,0.25,0.0,1.39,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-1.06,0.29000000000000004
699,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2016,554,5,0.9,1.21,0.92,0.3,2.15,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.30999999999999994,-0.020000000000000018
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,1741,11,0.63,0.58,0.81,0.4,1.45,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,0.050000000000000044,-0.18000000000000005
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2015,313,2,0.64,0.91,0.52,0.06,1.87,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-0.27,0.12
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2016,172,1,0.58,1.53,0.47,0.01,2.61,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.9500000000000001,0.10999999999999999
411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2016,1500,19,1.27,1.19,1.32,0.79,2.06,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.08000000000000007,-0.050000000000000044
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2015,180,0,0.0,1.19,0.0,0.0,1.94,Rate not different than Statewide Rate,2015,2015,2015,Rate not different than Statewide Rate,False,False,True,-1.19,0.0
756,Samaritan Hospital,Capital District,Capital District,All PCI,2016,196,5,2.55,1.58,2.0,0.65,4.68,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.9699999999999998,0.5499999999999998
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2013-2015,309,9,2.91,3.64,2.43,1.11,4.61,Rate not different than Statewide Rate,2013,2015,2014,Rate not different than Statewide Rate,False,False,True,-0.73,0.48
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,472,2,0.42,0.46,0.47,0.05,1.7,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,-0.040000000000000036,-0.04999999999999999
818,Saratoga Hospital,Capital District,Capital District,All PCI,2016,76,1,1.32,1.1,1.48,0.02,8.23,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,0.21999999999999997,-0.15999999999999992
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Non-Emergency PCI,2010,997,7,0.7,0.49,0.73,0.29,1.51,Rate not different than Statewide Rate,2010,2010,2010,Rate not different than Statewide Rate,False,False,True,0.20999999999999996,-0.030000000000000027
527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2016,464,5,1.08,1.39,0.96,0.31,2.23,Rate not different than Statewide Rate,2016,2016,2016,Rate not different than Statewide Rate,False,False,True,-0.30999999999999983,0.1200000000000001
